"Date";"Close Price";"Signal"
"2015-01-01";3107.3;"Hold"
"2015-01-02";3097.75;"Hold"
"2015-01-05";3118.65;"Hold"
"2015-01-06";3011.8;"Hold"
"2015-01-07";2977.1;"Hold"
"2015-01-08";2984.45;"Hold"
"2015-01-09";2993.15;"Hold"
"2015-01-12";2936.2;"Hold"
"2015-01-13";2893.7;"Hold"
"2015-01-14";2905.2;"Hold"
"2015-01-15";2950.25;"Hold"
"2015-01-16";2896.85;"Hold"
"2015-01-19";2841.75;"Hold"
"2015-01-20";2827.7;"Hold"
"2015-01-21";2876.5;"Hold"
"2015-01-22";2838.15;"Hold"
"2015-01-23";2859.65;"Hold"
"2015-01-27";2856.7;"Hold"
"2015-01-28";2865.45;"Hold"
"2015-01-29";2875.4;"Hold"
"2015-01-30";2869.55;"Hold"
"2015-02-02";2834.4;"Hold"
"2015-02-03";2812.35;"Hold"
"2015-02-04";2829.9;"Hold"
"2015-02-05";2847.05;"Hold"
"2015-02-06";2779.5;"Hold"
"2015-02-09";2728.5;"Hold"
"2015-02-10";2720.65;"Hold"
"2015-02-11";2752.45;"Hold"
"2015-02-12";2805.35;"Hold"
"2015-02-13";2852.5;"Hold"
"2015-02-16";2806.25;"Hold"
"2015-02-18";2663.45;"Hold"
"2015-02-19";2667.2;"Hold"
"2015-02-20";2659.85;"Hold"
"2015-02-23";2646.8;"Hold"
"2015-02-24";2651.2;"Hold"
"2015-02-25";2625.55;"Hold"
"2015-02-26";2625.65;"Hold"
"2015-02-27";2670.35;"Hold"
"2015-02-28";2682.65;"Hold"
"2015-03-02";2624.75;"Hold"
"2015-03-03";2636.95;"Hold"
"2015-03-04";2621.4;"Hold"
"2015-03-05";2608.1;"Hold"
"2015-03-09";2599.65;"Hold"
"2015-03-10";2620.55;"Hold"
"2015-03-11";2617.0;"Hold"
"2015-03-12";2642.65;"Hold"
"2015-03-13";2609.5;"Hold"
"2015-03-16";2629.65;"Hold"
"2015-03-17";2652.45;"Hold"
"2015-03-18";2674.05;"Hold"
"2015-03-19";2665.05;"Hold"
"2015-03-20";2614.8;"Hold"
"2015-03-23";2638.0;"Hold"
"2015-03-24";2607.8;"Hold"
"2015-03-25";2595.6;"Hold"
"2015-03-26";2608.05;"Hold"
"2015-03-27";2576.75;"Hold"
"2015-03-30";2636.55;"Hold"
"2015-03-31";2642.6;"Hold"
"2015-04-01";2655.6;"Hold"
"2015-04-06";2671.8;"Hold"
"2015-04-07";2640.0;"Hold"
"2015-04-08";2605.1;"Hold"
"2015-04-09";2610.0;"Hold"
"2015-04-10";2584.25;"Hold"
"2015-04-13";2580.65;"Hold"
"2015-04-15";2523.85;"Hold"
"2015-04-16";2428.85;"Hold"
"2015-04-17";2410.15;"Hold"
"2015-04-20";2314.7;"Hold"
"2015-04-21";2329.45;"Hold"
"2015-04-22";2408.6;"Hold"
"2015-04-23";2372.55;"Hold"
"2015-04-24";2352.55;"Hold"
"2015-04-27";2324.05;"Hold"
"2015-04-28";2356.35;"Hold"
"2015-04-29";2372.85;"Hold"
"2015-04-30";2329.45;"Hold"
"2015-05-04";2386.0;"Hold"
"2015-05-05";2357.7;"Hold"
"2015-05-06";2325.95;"Hold"
"2015-05-07";2354.1;"Hold"
"2015-05-08";2301.55;"Hold"
"2015-05-11";2384.2;"Hold"
"2015-05-12";2459.9;"Hold"
"2015-05-13";2502.1;"Hold"
